ID	Name	(P40, KO) / (E14_5, KO)	(P40, KO) / (E14_5, KO).1
C334_HILIC	1-[(9Z)-octadec-9-enoyl]-2-hexadecanoyl-sn-glycero-3-phospho-(1'-sn-glycerol)	-1.870000000000000	0.005808874633326950000000000000
C335_HILIC	1-palmitoyl-2-[(9Z,12Z,15Z)-octadecatrienoyl]-sn-glycero-3-phosphocholine	-3.310000000000000	0.000000000068410035572849100000
C332_HILIC	1-tetradecanoyl-2-[(9Z)-octadecenoyl]-sn-glycero-3-phosphocholine	-3.180000000000000	0.000000000968640795519521000000
C330_HILIC	1-tetradecanoyl-2-[(9Z,12Z,15Z)-octadecatrienoyl]-sn-glycero-3-phosphocholine	-6.130000000000000	0.000000000003388161546196830000
C308_HILIC	L-alpha-lysophosphatidylcholine	-2.220000000000000	0.000000006235909274830020000000
C328_HILIC	PC(14:0/14:0)	-6.760000000000000	0.000000000003388161546196830000
C340_HILIC	PC(18:3(9Z,12Z,15Z)/18:2(9Z,12Z))	-1.770000000000000	0.000000000007711151978389140000
C339_HILIC	PC(o-16:0/20:4(8Z,11Z,14Z,17Z))	-1.000000000000000	0.016626844458067000000000000000
C338_HILIC	PS(18:0/16:1(9Z))	-3.460000000000000	0.000000244332783023385000000000
B188_HILIC	Palmitoyl sphingomyelin	-2.970000000000000	0.000015373673562930900000000000
C285_HILIC	1-Methylinosine	-3.200000000000000	0.000000008503163990092030000000
C284_HILIC	1-Methyladenosine	-1.190000000000000	0.000712630350252236000000000000
B139_HILIC	1-Methylguanine	0.980000000000000	0.000296121338720732000000000000
C326_HILIC	CMP-sialic acid	0.740000000000000	0.008490776485008840000000000000
B168_HILIC	N2-Methylguanosine	-2.980000000000000	0.000000002130388464964760000000
B165_HILIC	Orotidine	-2.540000000000000	0.000000000028593915429864200000
C299_HILIC	uridine 5′-diphosphate	-0.970000000000000	0.000317685052236820000000000000
C325_HILIC	GDP-fucose	0.450000000000000	0.003556307311650270000000000000
C214_HILIC	delta-guanidinovaleric acid	-5.120000000000000	0.000000002631848421426620000000
a076_RP	NG-Methyl-L-arginine	-5.110000000000000	0.000000000005053901741547410000
a074_RP	Putrescine	-4.240000000000000	0.000000000004478322474759420000
A024_RP	Spermidine	-1.690000000000000	0.000096934557546049500000000000
A012_RP	Threonine	-3.550000000000000	0.000000000003706417888654160000
A059_RP	5-Deoxy-5'-(methylthio) adenosine (MTA)	-1.690000000000000	0.000029336831381355200000000000
C139_RP	5-(Phosphonooxy)-L-lysine	-3.590000000000000	0.000000000002392565312536730000
C117_RP	Stachydrine	-3.550000000000000	0.000032317384775597000000000000
C125_RP	Guanidinoethyl Sulfonate	-2.320000000000000	0.000040668007411800500000000000
c185_RP	(R)-3-hydroxybutyrylcarnitine	-1.520000000000000	0.000058690759837718400000000000
c204_RP	3, 5-Tetradecadiencarnitine	-5.110000000000000	0.000000132544199238280000000000
C136_RP	butyrylcarnitine	-3.110000000000000	0.000040668007411800500000000000
c201_RP	decanoylcarnitine	-3.360000000000000	0.000000092459012939595100000000
B098_RP	Hexanoylcarnitine	-4.790000000000000	0.000000000169298347950472000000
C143_RP	Isovalerylcarnitine	-1.880000000000000	0.001003591627812570000000000000
c197_RP	Octanoylcarnitine	-5.220000000000000	0.000000023694995880290400000000
C158_RP	O-oleoylcarnitine	0.990000000000000	0.035494307473233800000000000000
C161_RP	L-alpha-lysophosphatidylcholine	-1.010000000000000	0.000044303623613415700000000000
C116_RP	Phosphoryethanolamine	-0.300000000000000	0.011213338982257200000000000000
