ID	Name	(P2, KO) / (E14_5, KO)	(P2, KO) / (E14_5, KO).1
C291_HILIC	(2E,4Z)-N-Isobutyl-2,4-octadecadienamide	-2.020000000000000	0.008069167930842520000000000000
C334_HILIC	1-[(9Z)-octadec-9-enoyl]-2-hexadecanoyl-sn-glycero-3-phospho-(1'-sn-glycerol)	-1.930000000000000	0.009713623451410340000000000000
C317_HILIC	1-oleoyl-sn-glycero-3-phosphocholine	0.510000000000000	0.021060420294751900000000000000
C336_HILIC	1-palmitoyl-2-oleoyl-sn-glycero-3-phosphocholine	-1.370000000000000	0.006559180677899110000000000000
C332_HILIC	1-tetradecanoyl-2-[(9Z)-octadecenoyl]-sn-glycero-3-phosphocholine	-0.760000000000000	0.040674696862638100000000000000
C338_HILIC	PS(18:0/16:1(9Z))	-3.530000000000000	0.000001178997831351870000000000
B188_HILIC	Palmitoyl sphingomyelin	-2.710000000000000	0.000419972291494925000000000000
B139_HILIC	1-Methylguanine	0.660000000000000	0.018849727368725000000000000000
B168_HILIC	N2-Methylguanosine	-0.940000000000000	0.003424630687685210000000000000
B165_HILIC	Orotidine	-0.610000000000000	0.002375348889939550000000000000
A001_RP	L-(+)-Alanine	-2.130000000000000	0.000001827840972463300000000000
a076_RP	NG-Methyl-L-arginine	-2.860000000000000	0.000000092565462875372100000000
A047_RP	Phosphocreatine	-3.960000000000000	0.000010954179779781900000000000
a074_RP	Putrescine	0.650000000000000	0.015326994527437200000000000000
B087_RP	L-Cysteinesulfinic acid	-4.550000000000000	0.016706808059810200000000000000
A027_RP	L-(+)-Glutamic acid	-0.510000000000000	0.001078974386165190000000000000
A010_RP	Betaine	-1.910000000000000	0.000051181437497487400000000000
A026_RP	L-(+)-Lysine	-0.650000000000000	0.040214492801673500000000000000
B093_RP	N6,N6,N6-Trimethyl-L-lysine	0.790000000000000	0.004254907213123560000000000000
B081_RP	Pipecolic acid	-2.010000000000000	0.005410538981276110000000000000
A065_RP	S-(5'-Adenosyl)-L-methionine (SAM)	-0.640000000000000	0.011717419893655400000000000000
A064_RP	S-Adenosyl-L-homocysteine	0.810000000000000	0.011075003900392500000000000000
A005_RP	Hypotaurine	-1.680000000000000	0.000041077688246035400000000000
A012_RP	Threonine	-2.120000000000000	0.000000044064145388045300000000
A046_RP	L-Kynurenine	-4.180000000000000	0.000048866212629540700000000000
A058_RP	Argininosuccinic acid	-1.330000000000000	0.009781824687778020000000000000
B107_RP	Adenosine diphosphate (ADP)	-2.510000000000000	0.000007375921570658060000000000
A008_RP	Fumaric acid	-1.400000000000000	0.000167852765950909000000000000
A022_RP	L-(-)-Malic acid	-1.480000000000000	0.000026567868005917800000000000
A032_RP	L-2-Aminoadipic acid	-3.450000000000000	0.000187157071651998000000000000
A043_RP	Gluconic acid	-0.670000000000000	0.001099258078809930000000000000
A053_RP	Choline glycerophosphate	-0.970000000000000	0.009594477483088160000000000000
A033_RP	L-Carnitine	-1.370000000000000	0.000001091420527057440000000000
B096_RP	Propionylcarnitine	-2.080000000000000	0.000225000625451727000000000000
A069_RP	Cytidine 5'-diphosphocholine	-1.140000000000000	0.000185545264000744000000000000
A059_RP	5-Deoxy-5'-(methylthio) adenosine (MTA)	-1.210000000000000	0.001803716458202780000000000000
A060_RP	Thymidine 5'-monophosphate (5'-TMP)	-0.870000000000000	0.018825945371541300000000000000
B095_RP	Acetylarginine	-1.210000000000000	0.001286198301843300000000000000
C153_RP	Succinyladenosine	0.970000000000000	0.000356373403131221000000000000
C140_RP	N-Undecanoylglycine	-1.660000000000000	0.022103523324047200000000000000
C137_RP	N-(tert-Butoxycarbonyl)-L-leucine	-3.220000000000000	0.000000010510125565553800000000
C139_RP	5-(Phosphonooxy)-L-lysine	-1.010000000000000	0.000005468893297309130000000000
C117_RP	Stachydrine	-5.150000000000000	0.000000834022960763403000000000
C125_RP	Guanidinoethyl Sulfonate	-2.080000000000000	0.001367426441466040000000000000
C160_RP	N-Stearoyltyrosine	-1.260000000000000	0.007765555312846020000000000000
B089_RP	N-Acetylornithine	-3.620000000000000	0.000000494813234307902000000000
B088_RP	Isophthalic acid	-1.300000000000000	0.004440085116579770000000000000
c172_RP	alpha-Ketoglutaric acid	-1.320000000000000	0.000041989924221456000000000000
C154_RP	(2E)-hexadecenoylcarnitine	-1.160000000000000	0.002619537867382750000000000000
C144_RP	2-methylbutyrylcarnitine	-2.500000000000000	0.003580219773604440000000000000
c204_RP	3, 5-Tetradecadiencarnitine	-4.260000000000000	0.000010526033848472400000000000
c207_RP	9,12-Hexadecadienoylcarnitine	-2.010000000000000	0.042644797667464600000000000000
C136_RP	butyrylcarnitine	-2.320000000000000	0.006838903019589030000000000000
C151_RP	cis-5-Tetradecenoylcarnitine	-2.550000000000000	0.000023656095577307900000000000
c201_RP	decanoylcarnitine	-3.720000000000000	0.000000232101371899773000000000
C150_RP	DL-LAUROYLCARNITINE	-1.120000000000000	0.005321910196107800000000000000
B098_RP	Hexanoylcarnitine	-3.230000000000000	0.000000193457126374757000000000
C143_RP	Isovalerylcarnitine	-1.700000000000000	0.022183640839773300000000000000
c197_RP	Octanoylcarnitine	-4.630000000000000	0.000000483960482482766000000000
